locale	subject
arb-Arab-ZZ	
cmn-Hans-CN	_实变函数论_、_实分析_、_实数分析_
cmn-Latn-CN	_shí biàn hánshù lùn_, _shí fēnxī_, _shíshù fēnxī_
dan-Latn-DK	
deu-Latn-DE	_reelle Analysis_
eng-Latn-US	_real analysis_
fin-Latn-FI	
fra-Latn-FR	_analyse réelle_
heb-Hebr-IL	
hin-Deva-IN	
ita-Latn-IT	
jpn-Hrkt-JP	_じつかいせき_、_じつかんすうろん_
jpn-Jpan-JP	_実解析_、_実関数論_
kor-Hang-KR	
kor-Kore-KR	
nld-Latn-NL	
nob-Latn-NO	
pes-Aran-IR	
por-Latn-PT	
rus-Cyrl-RU	_тео́рия фу́нкций веще́ственной переме́нной_, _тео́рия фу́нкций действи́тельного переме́нног_
spa-Latn-ES	
swe-Latn-SE	
tur-Latn-TR	
zxx-Zsym-ZZ	
