locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	循环小数	
cmn-Latn-CN	xúnhuán xiǎoshù	
dan-Latn-DK		
deu-Latn-DE	periodischer Dezimalbruch	
eng-Latn-US	recurring decimal, repeating decimal	decimal representation; infinity; zero
fin-Latn-FI		
fra-Latn-FR	développement décimal périodique	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	じゅんかんしょうすう	
jpn-Jpan-JP	循環小数	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU		
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
